company_id,company_name,sector,technology,country_iso2,exposure_value_usd,term,loss_given_default
101,101,Power,CoalCap,MN,40768586,7,0.4
102,102,Power,RenewablesCap,MN,15705614,5,0.4
103,103,Coal,Coal,MN,9840693,2,0.4
104,104,Power,RenewablesCap,MN,4136880,2,0.4
105,105,Coal,Coal,MN,1164536.94,1,0.4
106,106,Power,CoalCap,MN,562325.33,1,0.4
107,107,Coal,Coal,MN,316308,1,0.4
108,108,Coal,Coal,MN,294553,4,0.4
109,109,Coal,Coal,MN,33616735.93,1,0.4
110,110,Coal,Coal,MN,3770391,1,0.4
111,111,Coal,Coal,MN,1405813,1,0.4
112,112,Coal,Coal,MN,225532,1,0.4
