company_id,company_name,sector,technology,term,exposure_value_usd,loss_given_default,net_present_value_baseline,net_present_value_shock,net_present_value_difference,pd_baseline,pd_shock,expected_loss_baseline,expected_loss_shock,expected_loss_difference
102,102,Power,RenewablesCap,5,15705614,0.4,110112406.27027604,125164255.14301749,15051848.872741446,1.25755100998437e-4,6.827443610279982e-5,-790.0244299249865,-428.91677579929535,361.1076541256912
103,103,Coal,Coal,2,9840693,0.4,3751002300.45797,382976265.2434129,-3368026035.214557,1.0429335173256504e-10,0.015413478490146848,-4.105275425364763e-4,-60671.72395345547,-60671.723542927924
104,104,Power,RenewablesCap,2,4136880,0.4,352114115.39903104,400246461.5211952,48132346.12216413,0,0,-0,-0,-0
105,105,Coal,Coal,1,1164536.94,0.4,553527781.4399637,56515028.64140265,-497012752.79856104,2.717297095610194e-4,0.14325575481393837,-126.57571379171131,-66730.64733936563,-66604.07162557391
106,106,Power,CoalCap,1,562325.33,0.4,10528282.176075088,773871.8178521097,-9754410.358222978,0,1.1102230246251565e-16,-0,-2.497226114783757e-11,-2.497226114783757e-11
107,107,Coal,Coal,1,316308,0.4,383211540.99689794,39125789.059432596,-344085751.9374653,0,1.9958071464099003e-4,-0,-25.25159067466491,-25.25159067466491
108,108,Coal,Coal,4,294553,0.4,1490267.1038768257,152155.84634223793,-1338111.2575345878,0.007722614522272742,0.160925794471812,-909.8877101516013,-18960.470215622256,-18050.582505470655
109,109,Coal,Coal,1,33616735.93,0.4,1117058965.3786368,117577511.47040601,-999481453.9082308,0,6.559319278565123e-5,-0,-882.0116162723275,-882.0116162723275
110,110,Coal,Coal,1,3770391,0.4,7451335.519384129,760779.2317111896,-6690556.28767294,0.00163132249526865,0.18550876118298754,-2460.2894617033844,-279776.22543419426,-277315.9359724909
111,111,Coal,Coal,1,1405813,0.4,82640060.9156656,8569716.65592719,-74070344.2597384,0.00163132249526865,0.18241974268191175,-917.3337484164427,-102579.21828755457,-101661.88453913813
112,112,Coal,Coal,1,225532,0.4,7451335.519384129,760779.2317111896,-6690556.28767294,0.00163132249526865,0.18550876118298754,-147.16617000117168,-16735.26477084862,-16588.098600847447
