scenario,scenario_type,scenario_geography,sector,technology,scenario_year,price_unit,scenario_price,pathway_unit,scenario_pathway,technology_type,country_iso2_list,scenario_provider,scenario_capacity_factor
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2023,$/tonnes,59.45474799435796,EJ/yr,129.90505902,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2024,$/tonnes,59.32724097109626,EJ/yr,130.74988086,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2025,$/tonnes,59.19973394783455,EJ/yr,131.5947027,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2026,$/tonnes,59.37441271122503,EJ/yr,132.25549082,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2027,$/tonnes,59.5490914746155,EJ/yr,132.91627894,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2028,$/tonnes,59.72377023800598,EJ/yr,133.57706706,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2029,$/tonnes,59.89844900139646,EJ/yr,134.23785518,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2030,$/tonnes,60.073127764786925,EJ/yr,134.8986433,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2031,$/tonnes,60.37517471461776,EJ/yr,135.22917392,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
NGFS2024GCAM_CP,baseline,Asia,Coal,Coal,2032,$/tonnes,60.67722166444859,EJ/yr,135.55970454,carbontech,"AF,BD,BT,BN,KH,CN,HK,MO,KP,TL,IN,ID,LA,MY,MV,MN,MM,NP,PK,PG,PH,KR,SG,LK,TW,TH,VN",NGFS2024GCAM,1
