scenario_source,region,scenario,sector,technology,year,smsp,tmsr
ngfs2024gcam,asia,b2ds,coal,coal,2023,0,1
ngfs2024gcam,asia,b2ds,coal,coal,2024,-0.0014815089954304287,0.9985184910045696
ngfs2024gcam,asia,b2ds,coal,coal,2025,-0.0029630179908608574,0.99703698200913915
ngfs2024gcam,asia,b2ds,coal,coal,2026,-0.048454376989734656,0.9515456230102654
ngfs2024gcam,asia,b2ds,coal,coal,2027,-0.09394573598860845,0.9060542640113916
ngfs2024gcam,asia,b2ds,coal,coal,2028,-0.13943709498748236,0.8605629050125176
ngfs2024gcam,asia,b2ds,coal,coal,2029,-0.18492845398635616,0.8150715460136438
ngfs2024gcam,asia,b2ds,coal,coal,2030,-0.23041981298522995,0.76958018701477
ngfs2024gcam,asia,b2ds,oil and gas,gas,2023,0,1
ngfs2024gcam,asia,b2ds,oil and gas,gas,2024,0.009063840073785804,1.0296897156441478
ngfs2024gcam,asia,b2ds,oil and gas,gas,2025,0.018127680147571573,1.0593794312882956
ngfs2024gcam,asia,b2ds,oil and gas,gas,2026,0.021157395477621715,1.0693036340433795
ngfs2024gcam,asia,b2ds,oil and gas,gas,2027,0.024187110807671858,1.0792278367984633
ngfs2024gcam,asia,b2ds,oil and gas,gas,2028,0.027216826137722073,1.0891520395535474
ngfs2024gcam,asia,b2ds,oil and gas,gas,2029,0.03024654146777222,1.0990762423086313
ngfs2024gcam,asia,b2ds,oil and gas,gas,2030,0.03327625679782236,1.1090004450637152
ngfs2024gcam,asia,b2ds,oil and gas,oil,2023,0,1
ngfs2024gcam,asia,b2ds,oil and gas,oil,2024,0.013375531185242836,1.0192532780547712
ngfs2024gcam,asia,b2ds,oil and gas,oil,2025,0.026751062370485672,1.0385065561095423
ngfs2024gcam,asia,b2ds,oil and gas,oil,2026,0.030063793695765187,1.0432750349417494
ngfs2024gcam,asia,b2ds,oil and gas,oil,2027,0.033376525021044705,1.0480435137739565
