run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000647,P100000120655-1,Kobe Steel Ltd,Kobe Kakogawa Works steel plant,Steel,BOF-BF,1281968201.8637934,208274466.22155148,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120659-1,Nippon Steel Corp,Nippon East Japan Works (Kimitsu) steel plant,Steel,BOF-BF,1691264839.2180145,233930012.19569403,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120660-1,Nippon Steel Corp,North Nippon Muroran Works steel plant,Steel,BOF-BF,550556977.4581054,45952179.71563442,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120661-1,Nippon Steel Corp,Nippon East Japan Works (Nagoya) steel plant,Steel,BOF-BF,103142805.80009285,68866517.02250956,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120662-1,Nippon Steel Corp,"Nippon Kyushu Works (Oita Area, Oita) steel plant",Steel,BOF-BF,1679387795.8344822,314823897.5061904,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120663-1,Nippon Steel Corp,"Nippon Kyushu Works (Yawata Area, Tobata) steel plant",Steel,BOF-BF,929900259.6198343,133539649.09935167,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120664-1,Nippon Steel Corp,Nippon East Japan Works (Kashima) steel plant,Steel,BOF-BF,3013740633.9913154,256864881.4008695,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000652,P100000120666-1,Nippon Steel Corp,"Nippon Kansai Works (Wakayama Area, Wakayama) steel plant",Steel,BOF-BF,420531788.2289314,96520395.01696205,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000687,P100000120027-1,ArcelorMittal SA,ArcelorMittal Gent steel plant,Steel,BOF-BF,38199353.48334139,15209834.23550462,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000687,P100000120714-1,ArcelorMittal SA,ArcelorMittal Differdange steel plant,Steel,EAF-MM,2192763474.719969,2654883631.623121,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000687,P100000120719-1,ArcelorMittal SA,ArcelorMittal Sonasid Casablanca steel plant,Steel,EAF-MM,1011342592.56513,1183156496.8473034,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000687,P100000120970-1,ArcelorMittal SA,ArcelorMittal Texas DRI plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000715,P100000120726-1,DEACERO SA de CV,Deacero Celaya steel plant,Steel,EAF-MM,3309043087.017648,3163273871.2682085,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000715,P100000120730-1,DEACERO SA de CV,Deacero Saltillo-Ramos Arizpe steel plant,Steel,EAF-MM,2132861505.509478,1972138896.0019493,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000715,P100000120730-2,DEACERO SA de CV,Deacero Saltillo-Ramos Arizpe steel plant,Steel,EAF-MM,995335369.2377564,920331484.8009098,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000953,P100000120699-1,Posco,POSCO Gwangyang steel plant,Steel,BOF-BF,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000000953,P100000120700-1,Posco,POSCO Pohang steel plant,Steel,BOF-BF,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001058,P100000120876-1,Kaptan Demir Celik Endustrisi ve Ticaret AS,Kaptan Ereglisi steel plant,Steel,EAF-MM,2588789881.11983,2393710611.281878,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,P100000120964-1,United States Steel Corp,U.S. Steel Edgar Thomson Plant,Steel,BOF-BF,1967445634.3591444,144238459.21564877,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000001319,P100000120965-1,United States Steel Corp,U.S. Steel Fairfield plant,Steel,EAF-MM,1629728474.0186257,1506322010.816231,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
